Place Name,Category,Latitude,Longitude,Description,Image URL,Link to Page,Directions Link
Avchitgad,Fort,18.4744669,73.1160778,Avchitgad (अवचितगड) is a fort located in the Sahyadri ranges of Maharashtra. The fort is situated near Roha in the Raigad district. At the base of this fort is a village called Medha and Padam - Kharapti.,https://vl-prod-static.b-cdn.net/system/images/000/490/489/4ee15d564fa82ced38d5fabe8f571727/original/avchit.jpg?1623729613,https://en.wikipedia.org/wiki/Avchitgad,https://maps.app.goo.gl/3CCi1icuoAZHnm6h9
Birwadi fort,Fort,18.4241,73.0413,"Birwadi fort (बिरवाडी किल्ला) is hill fortress located in the village of Birwadi in Roha taluka, Raigad district, Maharashtra, India. Birwadi village is about 3 km away from Chanera village, which is on the Roha–Salav road. The fort looks like a small hillock from a distance.",https://upload.wikimedia.org/wikipedia/commons/5/5c/Birwadi_fort.jpg,https://en.wikipedia.org/wiki/Birwadi_fort,https://maps.app.goo.gl/6yyWdiLjRfqz6io59
Chandragad Fort / Dhavalgad Fort,Fort,18.001083,73.619444,"Chandragad Fort / Dhavalgad Fort ( चंद्रगड किल्ला ) is a fort located 182 km from Mumbai, in raigad district, of Maharashtra. This fort was an important fort in raigad district as a watch over for the Varandha Ghattrade routes from Bhor to kokan. The fort is surrounded by forest and hill slopes.",https://marathivishwakosh.org/wp-content/uploads/2020/09/1.%E0%A4%A2%E0%A4%B5%E0%A4%B3%E0%A4%97%E0%A4%A1.jpg?x61856QINRAA&sqi=2&usg=AOvVaw2_d2o-08jluHA0qlH7AV48,https://en.wikipedia.org/wiki/Chandragad_Fort,https://maps.app.goo.gl/qE4NtzzCUBFC5fno7
Dronagiri,Fort,18.866944,72.935917,"Dronagiri Fort is a fort in Navi Mumbai's Raigad district, Maharashtra, India. The fort is situated on the top of the hill which is close to Uran town in Raigad district. The fort is accessible in all seasons. The trek to the fort is simple and safe. Being close to Uran and Karanja, the fort was strategic importance since old times. The entire hill is densely covered with forest.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Dronagiri5.jpg/1920px-Dronagiri5.jpg,https://en.wikipedia.org/wiki/Dronagiri_Fort,https://maps.app.goo.gl/SWm5NUmqb2Matu5T6
Ghosalegad Fort,Fort,18.364194,73.090444,Ghosalegad Fort is located 8 km south of the Roha town on Roha-Bhalgaon-Murud road. This fort is in form of a narrow strip 20mt in width. This fort has a small hill with a narrow spur guarded by fortification. This fort served to keep watch on the enemy and the trade route from Maval to the sea ports around,https://lh5.googleusercontent.com/p/AF1QipO_AiVfnpiZWE9hS-v02KlvrQokrwaJQfQzDEk=w179-h299-n-k-no-nu,https://en.wikipedia.org/wiki/Ghosalegad_Fort,https://maps.app.goo.gl/ARsxPorB3bBZxFBL7
Hirakot Fort,Fort,18.6482316,72.8690865,"The Hirakot is a historically important fort structure built by the valiant Sarkhel Kanhoji Angre in the year 1720. Located at the north-western part of the Alibag town, just about 100 yards from Alibag beach, this huge compound is one of the largest building of the Raigad district. This fort is built up of big blocks of black Bassalt rock which gives it a shiny look. This is the reason that the locals have named it as “The Diamond Fort”.",https://upload.wikimedia.org/wikipedia/commons/e/e3/Hirakot_Fort%2C_Alibag%2C_c.1855-62.jpg,https://alibag.maharashtraonline.in/guide/hirakot-in-alibag,https://maps.app.goo.gl/f2MbRqzHMAEbRRXX6
Irshalgad,Fort,18.933568,73.232031,"Irshalgad is a fortress located between Matheran and Panvel in Maharashtra, India. It is a sister fort to Prabalgad. The area of the fort is not large but there are several water cisterns cut from the rock. The nearest village is Irshalwadi.",https://upload.wikimedia.org/wikipedia/commons/9/9f/Irshalgad_plateau_and_pinnacle.jpg,https://en.wikipedia.org/wiki/Irshalgad,https://maps.app.goo.gl/U5SazrtycBdmL45x6
Karnala,Fort,18.881667,73.118056,"Karnala Fort (also called Funnel Hill) is a hill fort in Raigad district, Maharashtra, India, about 10 km from Panvel city. Currently it is a protected place lying within the Karnala Bird Sanctuary. It was a place of strategic importance since it overlooked the Bor pass, which connected the Konkan coast to the interior of Maharashtra (Deccan Plateau) on the main trade route between these areas.",https://www.treksandtrails.org/system/images/000/763/810/3a0745762e93d05fc250b96b3f7e6fe2/x1000gt/karnala-fort-3.jpg?1717688380,https://en.wikipedia.org/wiki/Karnala_Fort,https://maps.app.goo.gl/tBJGXGPYt7XVrtVh7
Khanderi Fort,Fort,18.7042,72.8131,"Khanderi (officially Kanhoji Angre island) is an island with a fort, located south of Mumbai, along the coast of Maharashtra, India. Khanderi is located 5 km off the coast of Maharashtra (off Thal, Kihim) and 20 km south of Mumbai. Khanderi, along with its sister fort Underi (Jaidurg) formed the major fortification along the Maharashtra coast, the former falling under Shivaji Maharaj's control and the latter under his opponents, the Siddis. The island consists of two high hills, one facing north and the other facing south. Initially, the islands of Underi and Khanderi were uninhabited. It contained two wells to supply water to the forces within, and a temple of Sri Betal. The fort is a restricted area, which falls under the jurisdiction of the Indian Navy.",https://media.assettype.com/knocksense%2F2023-07%2F8fbf0d1a-737c-4cd3-a886-f9f288797deb%2F72357213.webp?w=1200&auto=format%2Ccompress&fit=max,https://en.wikipedia.org/wiki/Khanderi,https://maps.app.goo.gl/Xcv6v42fu3oZkdMZ9
Konkan Diva Fort,Fort,18.294222,73.422722,Konkandiva Fort (transliteration: Konkandiva Qilа̄) is a fort located 70 km from Pune in Maharashtra. This fort is on the boundary of Raigad and Pune district. The fort was important as a surveillance fort to keep watch on the possible attack on the Raigad fort through Ghol Village side along the Mutha river.,https://upload.wikimedia.org/wikipedia/commons/5/51/Konkandiva.jpg,https://en.wikipedia.org/wiki/Konkan_Diva_Fort,https://maps.app.goo.gl/AxWV3Re4WU9M6N1x9
